                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6795,                 4.0145,                 1.5391,                0.01006,                0.51754,                0.02079,                0.01073,                 1.7918,                 4.0849,                  1.551,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.6829,                 3.9737,                 1.5068,                0.01176,                0.53509,                0.08207,                0.04316,                 1.6742,                 4.0198,                 1.4339,             0.00011027,             0.00011027,             0.00011027
                      3,                 1.6438,                 3.6444,                 1.3528,                0.01269,                0.52778,                0.10409,                0.05414,                 1.6323,                 3.9642,                  1.407,             0.00016807,             0.00016807,             0.00016807
                      4,                 1.4584,                 3.0971,                 1.2358,                0.01486,                 0.5541,                0.14508,                0.07618,                  1.615,                  3.892,                 1.3905,             0.00022339,             0.00022339,             0.00022339
                      5,                 1.5462,                 2.7232,                 1.2582,                0.02738,                0.59672,                 0.2103,                0.11749,                 1.6167,                 3.6068,                 1.3339,             0.00027624,             0.00027624,             0.00027624
                      6,                 1.5699,                 2.3895,                 1.2344,                0.05171,                0.74349,                0.34559,                0.19987,                 1.6682,                 3.3319,                 1.3466,             0.00032661,             0.00032661,             0.00032661
                      7,                 1.4814,                 2.2669,                 1.1784,                0.52144,                 0.3397,                0.41586,                0.22408,                 1.7524,                 2.8951,                 1.3967,             0.00037451,             0.00037451,             0.00037451
                      8,                 1.4931,                 2.2293,                 1.2328,                0.43768,                0.18591,                0.35081,                0.18453,                  1.766,                 2.7556,                 1.4138,             0.00041993,             0.00041993,             0.00041993
                      9,                 1.5012,                 2.2225,                 1.2302,                0.35225,                0.21675,                0.34237,                0.19372,                 1.6892,                 2.4886,                 1.3809,             0.00046288,             0.00046288,             0.00046288
                     10,                 1.4218,                 2.0987,                 1.2151,                0.30158,                0.23711,                0.32067,                0.18416,                  1.799,                 2.4985,                 1.4665,             0.00050335,             0.00050335,             0.00050335
