                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3062,                 1.2812,                 1.1182,                0.46227,                0.42155,                0.39244,                0.22106,                 1.8108,                 2.3338,                 1.4146,               0.000986,               0.000986,               0.000986
                     35,                 1.3349,                  1.538,                 1.1864,                0.44556,                0.54249,                0.48072,                0.28507,                 1.7991,                 2.1042,                 1.4179,             0.00097775,             0.00097775,             0.00097775
                     36,                 1.2975,                 1.5157,                 1.1598,                0.54312,                0.43478,                 0.5276,                0.31319,                 1.8151,                 1.9712,                 1.4359,              0.0009695,              0.0009695,              0.0009695
                     37,                 1.2801,                 1.5115,                 1.1467,                0.56115,                0.41158,                0.50846,                 0.3023,                 1.7889,                 1.9677,                 1.4234,             0.00096125,             0.00096125,             0.00096125
                     38,                  1.316,                 1.3693,                 1.1372,                0.55536,                0.44359,                0.51858,                0.29119,                 1.7998,                 1.8871,                 1.4221,               0.000953,               0.000953,               0.000953
                     39,                 1.1785,                 1.3613,                 1.1045,                0.59588,                0.53439,                0.57726,                0.31678,                 1.8315,                  1.887,                 1.4333,             0.00094475,             0.00094475,             0.00094475
                     40,                 1.2086,                 1.3651,                 1.1156,                0.51522,                0.63376,                0.55159,                0.31558,                 1.8489,                 2.0222,                 1.4367,              0.0009365,              0.0009365,              0.0009365
                     41,                 1.2801,                  1.404,                 1.1529,                0.59079,                0.52453,                 0.5078,                0.28719,                 1.8311,                 2.1178,                 1.4226,             0.00092825,             0.00092825,             0.00092825
                     42,                 1.1683,                 1.2851,                 1.0988,                0.66001,                0.39525,                0.51539,                0.29179,                 1.7841,                 2.3235,                 1.3981,                0.00092,                0.00092,                0.00092
                     43,                 1.2433,                 1.3889,                 1.0901,                0.58325,                 0.5131,                0.54758,                0.32609,                 1.8035,                 2.3063,                 1.4178,             0.00091175,             0.00091175,             0.00091175
                     44,                 1.2354,                 1.2535,                 1.0737,                0.59264,                0.53094,                0.55566,                0.31602,                 1.8296,                 2.1151,                 1.4498,              0.0009035,              0.0009035,              0.0009035
                     45,                 1.1326,                 1.4789,                  1.078,                0.50592,                0.61735,                0.54819,                0.31962,                 1.8414,                 1.8114,                 1.4764,             0.00089525,             0.00089525,             0.00089525
                     46,                 1.2045,                 1.1797,                 1.1186,                0.53138,                0.52015,                0.51688,                0.29283,                 1.8146,                 1.6228,                 1.4748,               0.000887,               0.000887,               0.000887
                     47,                 1.2909,                 1.2467,                 1.1687,                0.52558,                  0.533,                0.50031,                0.28751,                 1.7724,                 1.6158,                 1.4617,             0.00087875,             0.00087875,             0.00087875
                     48,                 1.2864,                 1.4792,                 1.1541,                0.48178,                0.55503,                0.49852,                0.27225,                  1.751,                 1.5952,                 1.4537,              0.0008705,              0.0008705,              0.0008705
                     49,                 1.2484,                 1.2086,                 1.1405,                 0.5931,                0.64124,                0.56444,                0.32225,                  1.744,                 1.6019,                 1.4374,             0.00086225,             0.00086225,             0.00086225
                     50,                 1.1436,                 1.2018,                 1.0744,                0.56941,                0.64162,                0.60295,                0.34135,                 1.7712,                 1.6162,                 1.4407,               0.000854,               0.000854,               0.000854
                     51,                 1.1519,                 1.3355,                 1.1146,                0.57008,                 0.6116,                0.60308,                0.34958,                 1.8181,                 1.6838,                 1.4628,             0.00084575,             0.00084575,             0.00084575
                     52,                 1.2006,                 1.2643,                 1.1049,                0.61796,                0.57395,                0.60481,                0.36632,                 1.8004,                 1.6906,                 1.4507,              0.0008375,              0.0008375,              0.0008375
                     53,                 1.1482,                 1.3514,                  1.103,                0.65241,                0.64055,                0.64706,                 0.3923,                 1.7783,                 1.6308,                 1.4452,             0.00082925,             0.00082925,             0.00082925
                     54,                 1.1954,                 1.2811,                 1.1343,                0.60747,                0.66845,                0.64857,                0.39451,                  1.745,                 1.5211,                 1.4285,               0.000821,               0.000821,               0.000821
                     55,                 1.2489,                 1.2317,                  1.096,                0.64887,                0.61516,                0.64138,                 0.3891,                 1.7224,                 1.4196,                  1.419,             0.00081275,             0.00081275,             0.00081275
                     56,                 1.1085,                 1.2204,                 1.1075,                0.65967,                0.56687,                0.56226,                0.33508,                 1.7249,                 1.3662,                 1.4219,              0.0008045,              0.0008045,              0.0008045
                     57,                 1.1134,                 1.1541,                 1.0965,                0.64613,                0.56971,                0.56279,                0.33486,                 1.7301,                 1.3999,                 1.4198,             0.00079625,             0.00079625,             0.00079625
                     58,                 1.1766,                 1.1666,                 1.0727,                0.64493,                0.57804,                 0.5453,                0.32417,                 1.6807,                 1.4299,                 1.3856,               0.000788,               0.000788,               0.000788
                     59,                 1.1623,                 1.1585,                 1.0783,                0.63442,                0.55051,                0.57508,                0.35882,                 1.6423,                 1.3831,                 1.3724,             0.00077975,             0.00077975,             0.00077975
                     60,                 1.2137,                 1.2073,                 1.0695,                 0.6181,                0.56749,                0.58302,                0.37707,                 1.6184,                 1.3233,                 1.3709,              0.0007715,              0.0007715,              0.0007715
                     61,                 1.1866,                 1.1011,                  1.077,                0.72542,                0.55051,                 0.5946,                0.38621,                 1.6366,                 1.3079,                 1.3876,             0.00076325,             0.00076325,             0.00076325
                     62,                 1.1272,                  1.265,                 1.0891,                  0.697,                 0.5696,                0.57782,                0.36311,                  1.664,                 1.3418,                 1.3869,               0.000755,               0.000755,               0.000755
                     63,                 1.1307,                 1.1409,                 1.0743,                0.68814,                0.54943,                0.56588,                0.35228,                  1.664,                 1.3671,                 1.3772,             0.00074675,             0.00074675,             0.00074675
                     64,                 1.1086,                 0.9955,                 1.0318,                0.69304,                0.56138,                0.59132,                0.37646,                 1.6605,                 1.3672,                 1.3674,              0.0007385,              0.0007385,              0.0007385
                     65,                 1.1773,                 1.1254,                 1.0817,                 0.6959,                0.56523,                0.60546,                0.38162,                 1.6746,                 1.4274,                 1.3688,             0.00073025,             0.00073025,             0.00073025
                     66,                 1.2162,                 1.0509,                 1.0819,                0.65805,                0.57543,                0.59838,                0.38724,                 1.6753,                   1.47,                 1.3747,               0.000722,               0.000722,               0.000722
                     67,                 1.1539,                 1.2225,                 1.0786,                0.62003,                0.59837,                  0.596,                0.38424,                 1.6837,                 1.4705,                 1.3936,             0.00071375,             0.00071375,             0.00071375
                     68,                 1.2016,                 1.2512,                  1.077,                0.71554,                0.59119,                0.61911,                 0.3844,                 1.6965,                 1.4317,                 1.4201,              0.0007055,              0.0007055,              0.0007055
                     69,                 1.0488,                 1.1349,                 1.0448,                0.70102,                0.60025,                0.60849,                0.34245,                 1.7004,                 1.4392,                 1.4267,             0.00069725,             0.00069725,             0.00069725
                     70,                 1.0813,                  1.057,                 1.0875,                 0.6845,                0.60317,                0.61461,                0.34908,                 1.6713,                 1.4609,                 1.4039,               0.000689,               0.000689,               0.000689
                     71,                 1.1017,                 1.1154,                 1.0779,                0.66964,                0.59514,                0.61067,                0.35993,                 1.6599,                 1.4506,                 1.3936,             0.00068075,             0.00068075,             0.00068075
                     72,                 1.1314,                 1.0437,                 1.0872,                0.47765,                0.58108,                0.57345,                0.34109,                 1.6674,                  1.455,                 1.4017,              0.0006725,              0.0006725,              0.0006725
