                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8952,                 4.0934,                 1.6485,                0.00951,                0.50877,                0.01804,                0.00853,                 1.7917,                 4.1017,                 1.5679,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.7508,                 4.0313,                 1.5796,                0.00988,                0.47076,                0.05548,                0.03038,                 1.7239,                 4.0768,                 1.5275,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                 1.6695,                 3.8482,                 1.4002,                0.00998,                0.44591,                0.10253,                0.06049,                 1.5942,                 3.9739,                 1.3842,             0.00013205,             0.00013205,             0.00013205
                      4,                 1.5266,                 3.4854,                 1.3283,                0.01291,                0.52048,                 0.1581,                0.09612,                 1.5126,                 3.8327,                 1.2805,             0.00017636,             0.00017636,             0.00017636
                      5,                 1.5027,                 2.9471,                 1.2346,                0.01445,                0.53656,                0.15661,                0.09789,                 1.5241,                 3.7415,                 1.2746,             0.00021869,             0.00021869,             0.00021869
                      6,                 1.5508,                 2.8333,                 1.2733,                0.03983,                0.66864,                0.24317,                0.14149,                 1.5615,                 3.5436,                 1.2751,             0.00025904,             0.00025904,             0.00025904
                      7,                 1.5222,                 2.4719,                 1.2252,                0.38788,                0.16995,                0.32808,                0.17691,                 1.6254,                 3.3104,                 1.2967,              0.0002974,              0.0002974,              0.0002974
                      8,                 1.4617,                 2.7779,                 1.2476,                0.23514,                0.69535,                0.35314,                0.18646,                 1.6692,                 3.2228,                 1.3453,             0.00033379,             0.00033379,             0.00033379
                      9,                 1.4823,                 2.3508,                 1.2406,                0.83649,                0.17629,                 0.3728,                0.20038,                 1.7307,                 2.9723,                 1.3706,              0.0003682,              0.0003682,              0.0003682
                     10,                 1.4879,                 2.2358,                 1.2414,                0.85043,                0.15388,                0.39681,                0.21665,                 1.6653,                 2.5746,                  1.351,             0.00040063,             0.00040063,             0.00040063
                     11,                 1.4428,                 2.2427,                 1.2148,                0.79693,                0.22567,                0.37985,                0.20532,                 1.7226,                 2.3224,                 1.3986,             0.00043108,             0.00043108,             0.00043108
                     12,                  1.439,                 2.2661,                 1.2133,                0.73358,                0.30335,                0.37488,                0.20292,                 1.7298,                 2.1254,                 1.4183,             0.00045954,             0.00045954,             0.00045954
                     13,                 1.4572,                 2.0338,                 1.1988,                0.43109,                0.40276,                0.40513,                0.22296,                 1.7334,                  1.978,                  1.437,             0.00048603,             0.00048603,             0.00048603
                     14,                 1.4495,                 2.0848,                  1.194,                0.36588,                0.41891,                0.40201,                0.21827,                 1.7124,                 1.8911,                 1.4327,             0.00051054,             0.00051054,             0.00051054
                     15,                 1.3739,                 2.0292,                 1.2093,                  0.388,                0.47435,                0.41016,                0.21008,                 1.7418,                  1.955,                 1.4415,             0.00053306,             0.00053306,             0.00053306
                     16,                 1.4699,                 1.7468,                 1.2277,                0.36323,                0.53431,                0.40169,                0.20725,                 1.7286,                 2.0526,                 1.4278,             0.00055361,             0.00055361,             0.00055361
                     17,                 1.4245,                 1.7863,                 1.1784,                 0.4057,                0.60747,                0.42926,                0.22295,                 1.7439,                 2.0905,                 1.4317,             0.00057218,             0.00057218,             0.00057218
                     18,                 1.4113,                  1.616,                 1.1824,                 0.4312,                0.49764,                0.43354,                0.22253,                 1.7829,                 2.1206,                 1.4501,             0.00058877,             0.00058877,             0.00058877
                     19,                 1.3892,                 1.8914,                   1.18,                0.43547,                0.55725,                0.42785,                0.22267,                 1.7283,                 2.2292,                 1.4209,             0.00060338,             0.00060338,             0.00060338
                     20,                 1.3912,                  1.708,                  1.216,                0.40809,                 0.5355,                 0.4096,                0.20683,                   1.74,                 2.3401,                 1.4403,               0.000616,               0.000616,               0.000616
                     21,                 1.4105,                 1.6679,                 1.1579,                0.37888,                0.49602,                0.38729,                0.18907,                 1.7542,                 2.4196,                 1.4572,             0.00062665,             0.00062665,             0.00062665
                     22,                 1.3699,                 1.6144,                 1.1578,                0.40472,                0.48747,                0.41483,                0.22766,                 1.7525,                 2.2805,                 1.4305,             0.00063532,             0.00063532,             0.00063532
                     23,                 1.3971,                 1.5789,                 1.1805,                0.41035,                0.46257,                 0.4498,                 0.2604,                 1.7024,                 2.1198,                 1.3907,             0.00064201,             0.00064201,             0.00064201
                     24,                  1.376,                 1.5196,                 1.1827,                0.45099,                0.54011,                0.43467,                0.24488,                 1.7289,                 2.1058,                  1.407,             0.00064671,             0.00064671,             0.00064671
                     25,                 1.3908,                 1.6131,                 1.1715,                 0.3616,                0.48892,                 0.4098,                0.23538,                 1.7356,                 2.1248,                 1.4024,             0.00064944,             0.00064944,             0.00064944
                     26,                 1.3329,                 1.5452,                 1.1652,                0.42978,                0.55675,                0.44845,                 0.2676,                 1.7154,                 2.1454,                 1.3901,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.2547,                 1.5492,                 1.1195,                 0.4331,                0.52055,                0.44606,                0.24669,                 1.7472,                 2.2946,                 1.4096,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.3048,                 1.4239,                 1.1356,                0.41665,                0.49312,                0.41182,                0.24703,                 1.7013,                 2.4522,                 1.3927,              0.0006065,              0.0006065,              0.0006065
