                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7751,                 3.9852,                 1.6327,                 0.0097,                0.51754,                0.01858,                0.00927,                  1.798,                 4.0956,                 1.5742,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.7596,                 3.9221,                 1.6224,                0.00886,                0.44444,                0.02309,                0.01267,                 1.7532,                  4.101,                 1.5719,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                 1.7059,                 3.8926,                  1.547,                0.00951,                0.44444,                0.05422,                0.03256,                 1.6329,                 4.0821,                 1.5067,             0.00013205,             0.00013205,             0.00013205
                      4,                 1.5313,                 3.6379,                 1.3422,                 0.0099,                0.43567,                0.08238,                0.04191,                 1.6666,                 4.0384,                 1.5065,             0.00017636,             0.00017636,             0.00017636
                      5,                 1.4941,                 3.4796,                 1.3255,                0.01131,                0.45615,                0.12018,                0.06198,                 1.7671,                 4.0294,                 1.5658,             0.00021869,             0.00021869,             0.00021869
                      6,                 1.5961,                 3.1714,                 1.3716,                0.01221,                 0.4737,                 0.1769,                0.09525,                 1.8475,                      4,                 1.6209,             0.00025904,             0.00025904,             0.00025904
                      7,                 1.5484,                 2.5943,                 1.2705,                0.01351,                0.47957,                 0.2341,                0.14599,                 1.9343,                  3.987,                 1.6704,              0.0002974,              0.0002974,              0.0002974
                      8,                 1.4999,                 2.5467,                 1.2635,                0.02324,                0.52212,                0.20488,                0.12769,                 1.9184,                 3.9016,                 1.6499,             0.00033379,             0.00033379,             0.00033379
                      9,                 1.5749,                 2.4179,                 1.3069,                0.03947,                0.62193,                0.30037,                0.17877,                 1.7908,                 3.5371,                 1.5059,              0.0003682,              0.0003682,              0.0003682
                     10,                 1.5148,                 2.3509,                 1.3028,                0.50728,                0.25411,                 0.3413,                0.19109,                 1.8124,                 3.2222,                 1.4849,             0.00040063,             0.00040063,             0.00040063
                     11,                  1.543,                 2.0538,                 1.2676,                0.45758,                0.13772,                0.27214,                0.12616,                 1.8659,                 2.9754,                 1.5232,             0.00043108,             0.00043108,             0.00043108
                     12,                 1.3884,                 2.2204,                  1.206,                0.34208,                0.24037,                0.28588,                0.13171,                 1.8257,                 2.4975,                 1.4747,             0.00045954,             0.00045954,             0.00045954
                     13,                 1.4045,                  1.981,                 1.2228,                0.36815,                0.37313,                 0.3071,                0.14656,                 1.9563,                  2.291,                 1.5552,             0.00048603,             0.00048603,             0.00048603
                     14,                 1.3519,                 2.2408,                 1.1792,                0.37953,                 0.3955,                0.33624,                0.16765,                 1.9496,                 2.1058,                 1.5554,             0.00051054,             0.00051054,             0.00051054
                     15,                 1.4645,                 1.9229,                 1.2116,                0.44306,                0.46205,                0.41029,                0.20933,                 1.8666,                 1.6232,                 1.5302,             0.00053306,             0.00053306,             0.00053306
                     16,                 1.4138,                 1.8734,                 1.2133,                0.38296,                0.49514,                0.45795,                0.24787,                 1.8275,                   1.61,                 1.5045,             0.00055361,             0.00055361,             0.00055361
                     17,                 1.3701,                 1.9328,                 1.1936,                0.45754,                0.50544,                0.47134,                0.27051,                 1.7722,                 1.7086,                 1.4748,             0.00057218,             0.00057218,             0.00057218
                     18,                 1.4582,                 1.9773,                 1.1823,                 0.4626,                0.57041,                0.43597,                0.25717,                 1.8069,                 2.2171,                 1.5066,             0.00058877,             0.00058877,             0.00058877
                     19,                 1.3889,                 1.9483,                 1.1649,                0.43879,                0.51239,                0.39977,                0.22687,                  1.807,                 2.3864,                 1.5098,             0.00060338,             0.00060338,             0.00060338
                     20,                 1.4813,                 2.5626,                 1.3579,                0.41825,                0.47935,                0.40735,                0.24234,                 1.8068,                 2.5301,                 1.5144,               0.000616,               0.000616,               0.000616
                     21,                 1.3503,                 1.7526,                  1.174,                0.51489,                0.27437,                0.30005,                0.16938,                 1.8903,                 2.5875,                 1.5595,             0.00062665,             0.00062665,             0.00062665
                     22,                 1.4912,                 1.8966,                 1.2312,                0.38419,                0.38092,                0.31185,                0.17866,                 1.8906,                 2.6177,                 1.5687,             0.00063532,             0.00063532,             0.00063532
                     23,                 1.3814,                 1.6509,                 1.1803,                0.48216,                 0.3372,                0.35271,                0.22866,                 1.8826,                 2.7991,                 1.5751,             0.00064201,             0.00064201,             0.00064201
                     24,                 1.3644,                 1.6504,                  1.217,                 0.4242,                0.32512,                  0.365,                0.22948,                 1.8518,                 2.9407,                 1.5703,             0.00064671,             0.00064671,             0.00064671
                     25,                 1.4144,                 1.8618,                  1.227,                0.36411,                0.34424,                0.39575,                0.25313,                 1.8277,                 2.8622,                  1.537,             0.00064944,             0.00064944,             0.00064944
                     26,                 1.4183,                 1.5357,                 1.1641,                0.59927,                0.44234,                0.48814,                0.25819,                 1.7789,                 2.5938,                  1.499,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.3676,                 1.5811,                 1.1961,                0.47532,                0.48308,                0.48984,                0.25696,                 1.7399,                 2.2735,                 1.4613,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2758,                 1.6463,                 1.1486,                0.53031,                0.46256,                0.48413,                0.23082,                  1.756,                 2.1242,                 1.4581,              0.0006065,              0.0006065,              0.0006065
