                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2604,                 1.3684,                  1.115,                0.52367,                0.51343,                0.53605,                0.26726,                 1.7485,                 2.0497,                 1.3696,               0.000986,               0.000986,               0.000986
                     35,                 1.3092,                 1.7642,                 1.1435,                0.44551,                0.60011,                0.52331,                0.27238,                 1.7572,                 1.6507,                  1.413,             0.00097775,             0.00097775,             0.00097775
                     36,                 1.3761,                 1.4089,                  1.179,                0.51826,                0.54475,                0.47701,                0.26221,                 1.7254,                 1.4954,                  1.414,              0.0009695,              0.0009695,              0.0009695
                     37,                 1.2036,                 1.4563,                  1.139,                0.44324,                0.54468,                0.44283,                0.23613,                 1.7253,                 1.5495,                 1.4167,             0.00096125,             0.00096125,             0.00096125
                     38,                 1.2627,                 1.3311,                 1.1429,                0.39711,                0.45679,                0.41336,                0.22204,                 1.7277,                 1.6404,                 1.4223,               0.000953,               0.000953,               0.000953
                     39,                  1.203,                 1.4682,                 1.1054,                0.49326,                  0.492,                0.46191,                0.25401,                 1.7252,                 1.6498,                 1.4224,             0.00094475,             0.00094475,             0.00094475
                     40,                 1.2406,                 1.3918,                 1.1471,                0.61066,                0.54164,                0.52357,                0.29433,                 1.6995,                 1.5904,                  1.393,              0.0009365,              0.0009365,              0.0009365
                     41,                 1.3571,                 2.7032,                 1.2718,                0.46298,                0.63956,                0.58288,                0.32056,                 1.7375,                  1.612,                 1.4007,             0.00092825,             0.00092825,             0.00092825
                     42,                 1.2992,                 1.5325,                 1.1864,                0.48971,                0.65345,                0.60325,                0.30565,                 1.7529,                 1.7027,                 1.4105,                0.00092,                0.00092,                0.00092
                     43,                 1.1533,                 1.2725,                 1.0992,                  0.705,                0.45778,                0.60148,                0.33282,                 1.7565,                 1.8722,                 1.4344,             0.00091175,             0.00091175,             0.00091175
                     44,                 1.3459,                 1.2801,                 1.1658,                0.48422,                 0.6473,                0.63276,                0.35526,                 1.7637,                 1.8959,                 1.4569,              0.0009035,              0.0009035,              0.0009035
                     45,                 1.3774,                 1.4453,                 1.2026,                0.51898,                0.61607,                0.64142,                0.34042,                 1.7749,                 1.7841,                 1.4633,             0.00089525,             0.00089525,             0.00089525
                     46,                 1.1721,                 1.2736,                 1.1235,                0.58889,                0.55894,                0.65253,                0.34747,                 1.7956,                 1.6399,                 1.4737,               0.000887,               0.000887,               0.000887
                     47,                 1.2722,                 1.3627,                 1.1659,                0.77713,                 0.5275,                0.66832,                0.36347,                 1.7773,                 1.5994,                 1.4508,             0.00087875,             0.00087875,             0.00087875
                     48,                 1.2066,                 1.2551,                 1.1149,                0.72978,                0.56194,                0.67449,                0.37875,                  1.749,                 1.6227,                 1.4376,              0.0008705,              0.0008705,              0.0008705
                     49,                 1.2095,                 1.1558,                 1.1116,                0.60937,                0.61152,                0.62551,                0.35126,                 1.7575,                 1.6163,                  1.432,             0.00086225,             0.00086225,             0.00086225
                     50,                 1.2784,                 1.1375,                 1.1283,                0.57731,                0.65981,                0.59866,                0.31549,                 1.7754,                 1.5416,                 1.4379,               0.000854,               0.000854,               0.000854
                     51,                 1.2523,                 1.2992,                 1.1427,                0.55542,                0.59394,                0.58268,                0.31716,                  1.787,                 1.5266,                 1.4384,             0.00084575,             0.00084575,             0.00084575
                     52,                 1.1305,                  1.318,                 1.0689,                 0.6327,                0.55935,                0.62225,                0.36987,                 1.7577,                  1.605,                 1.4276,              0.0008375,              0.0008375,              0.0008375
                     53,                 1.1719,                 1.2449,                 1.1219,                0.71794,                0.59336,                0.67124,                0.38417,                 1.7461,                 1.7145,                 1.4244,             0.00082925,             0.00082925,             0.00082925
                     54,                 1.1935,                 1.2594,                 1.1285,                0.61708,                 0.5563,                0.62718,                0.35993,                 1.7502,                 1.7129,                 1.4358,               0.000821,               0.000821,               0.000821
                     55,                  1.155,                 1.1151,                 1.1016,                0.59435,                0.56364,                0.58887,                0.37211,                 1.7072,                 1.6328,                  1.421,             0.00081275,             0.00081275,             0.00081275
                     56,                 1.2452,                   1.19,                 1.1104,                0.60498,                0.53431,                0.58559,                0.37808,                  1.685,                 1.5726,                 1.4132,              0.0008045,              0.0008045,              0.0008045
                     57,                 1.2304,                 1.1423,                 1.1225,                0.54464,                 0.5644,                 0.5705,                0.35703,                 1.6765,                 1.5374,                  1.408,             0.00079625,             0.00079625,             0.00079625
                     58,                 1.2301,                 1.1742,                 1.1187,                0.55074,                0.52771,                0.56609,                0.35861,                 1.6689,                 1.6196,                 1.4055,               0.000788,               0.000788,               0.000788
                     59,                 1.0756,                 1.1233,                 1.0849,                0.46656,                0.59942,                0.54326,                0.34414,                  1.674,                 1.7607,                 1.4086,             0.00077975,             0.00077975,             0.00077975
                     60,                 1.1017,                 1.2026,                 1.0745,                0.44388,                0.60829,                0.53977,                0.33379,                 1.6819,                 1.7897,                 1.4162,              0.0007715,              0.0007715,              0.0007715
                     61,                 1.1922,                 1.3279,                 1.1123,                0.49411,                0.51097,                0.54883,                0.33219,                 1.6854,                 1.6891,                 1.4082,             0.00076325,             0.00076325,             0.00076325
                     62,                 1.2351,                  1.114,                 1.1207,                0.50287,                0.54396,                0.54918,                0.34066,                 1.7104,                 1.5609,                 1.4208,               0.000755,               0.000755,               0.000755
                     63,                 1.1229,                 1.0464,                 1.0742,                0.50616,                0.55487,                 0.5379,                0.33426,                 1.7514,                 1.4441,                 1.4539,             0.00074675,             0.00074675,             0.00074675
                     64,                 1.1391,                0.98841,                 1.0717,                 0.5515,                0.56515,                0.53749,                0.32894,                 1.7444,                 1.4258,                 1.4551,              0.0007385,              0.0007385,              0.0007385
                     65,                 1.0703,                 1.1022,                  1.053,                0.57216,                0.53244,                0.53272,                0.32812,                 1.7221,                 1.4676,                  1.428,             0.00073025,             0.00073025,             0.00073025
                     66,                 1.1556,                 1.0248,                  1.047,                0.60071,                0.48014,                0.52449,                0.31658,                 1.7357,                 1.5649,                 1.4264,               0.000722,               0.000722,               0.000722
                     67,                 1.1004,                 1.0304,                 1.0471,                0.58756,                0.52701,                 0.5201,                0.31311,                 1.7864,                 1.5427,                 1.4543,             0.00071375,             0.00071375,             0.00071375
                     68,                 1.0936,                 1.1011,                  1.087,                0.59148,                0.53077,                0.49839,                0.29091,                 1.7939,                 1.5601,                 1.4491,              0.0007055,              0.0007055,              0.0007055
                     69,                 1.1015,                 1.1166,                 1.0794,                0.64633,                 0.5153,                0.49705,                0.28443,                 1.7875,                  1.588,                 1.4372,             0.00069725,             0.00069725,             0.00069725
                     70,                 1.1666,                 1.0989,                 1.0534,                0.67857,                 0.5007,                0.54743,                0.29945,                 1.7667,                 1.5883,                 1.4223,               0.000689,               0.000689,               0.000689
                     71,                 1.1481,                  1.774,                  1.122,                0.69183,                0.52566,                0.57306,                0.31341,                 1.7441,                 1.5378,                  1.411,             0.00068075,             0.00068075,             0.00068075
                     72,                 1.1554,                 1.0919,                 1.1269,                0.65653,                0.55213,                0.57451,                0.33687,                 1.6848,                 1.4256,                 1.3836,              0.0006725,              0.0006725,              0.0006725
                     73,                 1.1446,                 1.0706,                 1.0589,                0.63353,                0.61145,                0.57497,                0.33072,                 1.6927,                 1.3502,                 1.4093,             0.00066425,             0.00066425,             0.00066425
                     74,                 1.0906,                 1.1351,                 1.0422,                0.58807,                0.61377,                0.56266,                0.30845,                  1.725,                 1.3343,                 1.4287,               0.000656,               0.000656,               0.000656
                     75,                 1.1134,                0.97902,                 1.0776,                0.60869,                0.60273,                0.57627,                0.30914,                 1.7187,                 1.3375,                 1.4194,             0.00064775,             0.00064775,             0.00064775
