                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7207,                 4.0151,                 1.5713,                0.00959,                0.25392,                0.01919,                0.00853,                 1.4231,                 3.8516,                 1.4511,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.7852,                 4.0128,                 1.5718,                0.00963,                0.25196,                0.03407,                 0.0243,                 1.3614,                 3.7687,                 1.3209,             0.00011027,             0.00011027,             0.00011027
                      3,                 1.6002,                 3.7711,                 1.3662,                0.00964,                0.22309,                0.04442,                0.02948,                   1.38,                 3.6883,                 1.2841,             0.00016807,             0.00016807,             0.00016807
                      4,                 1.4496,                 3.3476,                 1.2573,                0.01206,                0.26344,                0.05906,                 0.0354,                  1.293,                 3.6883,                 1.2663,             0.00022339,             0.00022339,             0.00022339
                      5,                 1.5541,                 3.0854,                 1.2755,                0.01238,                0.26583,                0.06528,                0.04033,                 1.2789,                 3.6311,                 1.2949,             0.00027624,             0.00027624,             0.00027624
                      6,                 1.5433,                 2.7728,                 1.2823,                  0.627,                0.03789,                0.08907,                0.05425,                 1.2717,                 3.5345,                 1.3194,             0.00032661,             0.00032661,             0.00032661
                      7,                 1.5077,                 2.3867,                 1.2651,                0.51834,                0.07994,                0.15154,                0.08951,                  1.385,                 3.2466,                 1.3334,             0.00037451,             0.00037451,             0.00037451
                      8,                 1.5754,                 2.3352,                  1.267,                 0.4573,                0.14473,                0.21515,                0.12169,                 1.4451,                 3.0207,                 1.3497,             0.00041993,             0.00041993,             0.00041993
                      9,                 1.5042,                  2.253,                 1.2373,                0.29142,                0.34647,                 0.2759,                0.15888,                 1.4608,                 2.6471,                 1.3299,             0.00046288,             0.00046288,             0.00046288
                     10,                 1.6128,                  1.973,                 1.2779,                0.26557,                0.37629,                0.26876,                0.15018,                  1.467,                 2.5747,                 1.3193,             0.00050335,             0.00050335,             0.00050335
                     11,                 1.5718,                  1.958,                 1.2479,                0.21728,                0.45548,                0.21855,                0.11233,                 1.5081,                 2.5559,                 1.3757,             0.00054135,             0.00054135,             0.00054135
                     12,                 1.4411,                 1.8625,                 1.2205,                0.21769,                0.48435,                0.23324,                0.12438,                 1.5094,                 2.4463,                 1.3953,             0.00057687,             0.00057687,             0.00057687
                     13,                 1.4558,                 1.8013,                 1.2412,                0.22875,                0.47311,                0.23557,                0.12821,                 1.5021,                 2.4126,                 1.3965,             0.00060992,             0.00060992,             0.00060992
