                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7798,                   4.07,                 1.6082,                0.01001,                0.50877,                0.01887,                0.00971,                 1.7481,                 4.0861,                 1.5274,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                 1.6939,                 3.9702,                 1.4902,                0.01293,                0.53656,                0.10614,                0.04696,                 1.6362,                 4.0224,                 1.4077,             0.00013478,             0.00013478,             0.00013478
                      3,                 1.5144,                 3.4615,                 1.3001,                0.01328,                0.53656,                0.11638,                0.06065,                 1.6161,                  3.962,                 1.3986,             0.00020408,             0.00020408,             0.00020408
                      4,                  1.596,                 3.0719,                 1.2475,                0.01549,                0.55557,                0.14187,                0.08202,                 1.6192,                  3.829,                 1.3889,             0.00027042,             0.00027042,             0.00027042
                      5,                 1.5662,                  2.544,                 1.2553,                0.03984,                 0.6759,                0.28379,                0.15735,                 1.6809,                  3.526,                 1.3738,             0.00033379,             0.00033379,             0.00033379
                      6,                 1.4586,                 2.2802,                 1.2113,                0.05551,                0.79187,                 0.3607,                0.19918,                  1.654,                 3.1547,                 1.3344,             0.00039419,             0.00039419,             0.00039419
                      7,                 1.5693,                 2.4046,                 1.2819,                0.58275,                0.10434,                0.36253,                0.18376,                  1.707,                 2.8723,                 1.3553,             0.00045161,             0.00045161,             0.00045161
                      8,                 1.4956,                 1.9442,                 1.2042,                0.51641,                0.39049,                0.40706,                0.20269,                 1.8131,                 2.6293,                 1.3777,             0.00050607,             0.00050607,             0.00050607
                      9,                 1.4904,                 2.0992,                 1.2253,                0.49534,                0.38758,                0.47412,                0.20155,                 1.7311,                 2.5556,                 1.3387,             0.00055756,             0.00055756,             0.00055756
                     10,                 1.4309,                 1.9425,                 1.2026,                0.43913,                0.40679,                0.39096,                0.18793,                  1.718,                  2.587,                 1.3382,             0.00060608,             0.00060608,             0.00060608
                     11,                  1.454,                  1.833,                 1.1984,                0.46657,                 0.3791,                0.44765,                0.21474,                 1.7321,                 2.4872,                  1.351,             0.00065163,             0.00065163,             0.00065163
                     12,                 1.3926,                 1.7584,                 1.1681,                 0.4177,                0.32546,                0.39749,                0.21109,                 1.7092,                 2.2107,                 1.3261,              0.0006942,              0.0006942,              0.0006942
                     13,                 1.4446,                 1.8664,                 1.2089,                 0.4997,                  0.388,                0.44808,                0.23701,                 1.7289,                 2.1165,                 1.4023,             0.00073381,             0.00073381,             0.00073381
                     14,                 1.4529,                 1.7127,                 1.2352,                0.40693,                0.37967,                0.45439,                0.24304,                 1.6995,                 2.2265,                 1.3863,             0.00077045,             0.00077045,             0.00077045
                     15,                 1.3692,                 1.7766,                 1.1959,                0.33175,                0.35297,                0.46245,                0.24818,                 1.7058,                 2.2824,                 1.3741,             0.00080412,             0.00080412,             0.00080412
                     16,                 1.4193,                 1.6568,                  1.183,                0.34355,                0.48134,                0.44034,                 0.2537,                 1.7416,                 2.2823,                 1.3936,             0.00083481,             0.00083481,             0.00083481
                     17,                 1.3665,                 1.6529,                 1.1687,                0.35862,                0.48693,                0.46126,                0.26288,                 1.7304,                 2.2028,                 1.4017,               0.000854,               0.000854,               0.000854
                     18,                 1.4307,                 1.6347,                 1.2142,                0.36253,                0.43621,                  0.413,                0.22285,                 1.7759,                 2.2311,                  1.431,               0.000854,               0.000854,               0.000854
                     19,                 1.3403,                 1.5559,                 1.1537,                0.41783,                0.53277,                0.46623,                0.24182,                 1.7696,                  2.041,                 1.4077,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.3942,                 1.5592,                 1.2061,                0.56939,                0.53321,                0.47284,                0.25674,                  1.741,                  1.877,                 1.3696,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.3704,                 1.5328,                 1.1834,                 0.6197,                0.53646,                0.55702,                0.25998,                 1.7307,                 1.7902,                 1.3668,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.3705,                 1.6423,                 1.2071,                  0.661,                0.52997,                0.52104,                0.26863,                 1.7872,                 1.7188,                 1.3768,               0.000755,               0.000755,               0.000755
                     23,                 1.4129,                 1.5027,                 1.1671,                  0.564,                0.49826,                0.49687,                 0.2697,                 1.8509,                 1.8006,                 1.4046,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.3709,                 1.4384,                 1.1349,                0.61018,                0.56927,                0.59308,                0.31977,                 1.8787,                 1.8535,                 1.4478,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.4077,                 1.4068,                    1.2,                0.48428,                0.53828,                0.53518,                0.30239,                 1.7929,                 1.8828,                 1.4259,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.3509,                 1.4312,                 1.1565,                0.49681,                0.55211,                0.43622,                0.22629,                  1.702,                 1.7417,                 1.3781,               0.000656,               0.000656,               0.000656
                     27,                 1.2452,                 1.4864,                 1.1668,                0.46925,                0.54912,                0.43044,                0.22977,                 1.7005,                  1.782,                 1.3649,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.3253,                 1.3716,                 1.1331,                 0.3838,                0.65854,                0.46402,                0.24815,                 1.7337,                 1.7721,                 1.3707,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2872,                 1.3945,                 1.1193,                0.42147,                0.52987,                0.46439,                0.25724,                 1.7293,                 1.7876,                 1.3866,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2642,                 1.4933,                 1.1575,                0.42056,                0.46534,                0.48068,                0.23752,                 1.7434,                 1.9221,                  1.421,               0.000557,               0.000557,               0.000557
                     31,                 1.2869,                 1.3998,                 1.1647,                0.48334,                0.46215,                0.43585,                0.21121,                 1.7531,                 1.9133,                 1.4339,             0.00053225,             0.00053225,             0.00053225
                     32,                   1.25,                 1.3225,                 1.1375,                0.54255,                0.53422,                0.56137,                0.23889,                 1.7595,                  1.712,                  1.437,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.2548,                 1.2894,                 1.1261,                0.58542,                0.53449,                0.56712,                0.23962,                 1.7716,                 1.6826,                 1.4466,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.2072,                 1.3397,                 1.1102,                0.47625,                0.51787,                0.45585,                0.23395,                 1.7562,                 1.6348,                 1.4475,               0.000458,               0.000458,               0.000458
                     35,                  1.296,                 1.3243,                  1.136,                0.46141,                0.63103,                0.48816,                0.25214,                 1.7506,                 1.6026,                 1.4339,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.2763,                 1.2404,                 1.1208,                 0.5948,                0.56062,                0.53593,                 0.2896,                 1.7031,                 1.4792,                 1.4045,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.2828,                 1.3369,                 1.1446,                0.62641,                0.58855,                0.55698,                0.29787,                 1.6839,                 1.4031,                 1.4028,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1629,                 1.1998,                 1.0833,                0.56464,                 0.6901,                0.56642,                0.29141,                 1.6499,                 1.4018,                 1.3771,               0.000359,               0.000359,               0.000359
                     39,                 1.1827,                 1.2413,                 1.1039,                0.58723,                0.61051,                0.56957,                0.29375,                 1.6583,                 1.4183,                 1.3786,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.2271,                 1.2247,                 1.0997,                0.55815,                0.59444,                0.55079,                0.30316,                 1.6702,                 1.5155,                 1.3803,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.1596,                 1.6462,                 1.0884,                0.51212,                0.56087,                0.52898,                0.29515,                 1.6869,                 1.5965,                 1.3855,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.2264,                 1.3915,                 1.0897,                0.47274,                0.57086,                0.49225,                0.26822,                 1.7007,                 1.7509,                 1.3833,                0.00026,                0.00026,                0.00026
                     43,                  1.224,                 1.3609,                  1.131,                0.47718,                0.43772,                0.46913,                0.27401,                  1.725,                 1.8446,                 1.3889,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.1944,                 1.3169,                  1.101,                0.56368,                0.43596,                0.47562,                0.27761,                 1.7046,                 1.7878,                 1.3745,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.1684,                 1.4254,                 1.1001,                0.46987,                0.48471,                0.46894,                0.26744,                 1.6945,                 1.7243,                 1.3663,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.1334,                 1.3623,                 1.0754,                0.62542,                0.44301,                0.50114,                0.29236,                  1.678,                 1.5775,                 1.3559,               0.000161,               0.000161,               0.000161
                     47,                 1.0915,                 1.2883,                 1.0484,                0.62027,                0.43409,                0.53764,                0.30707,                 1.6789,                 1.5482,                 1.3609,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.1218,                 1.2918,                 1.0817,                0.47122,                0.63112,                 0.5619,                0.33016,                 1.6795,                 1.4876,                 1.3639,              0.0001115,              0.0001115,              0.0001115
                     49,                  1.153,                 1.2433,                 1.0767,                0.50037,                 0.6606,                 0.5467,                0.32064,                 1.6733,                 1.4751,                 1.3603,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                   1.16,                 1.1661,                 1.0863,                0.55559,                0.64996,                0.55833,                0.32848,                 1.6746,                 1.4471,                 1.3551,                6.2e-05,                6.2e-05,                6.2e-05
