                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3978,                 4.2334,                 1.2707,                0.00709,                0.44444,                0.01393,                0.00632,                 1.8035,                 4.1072,                 1.5774,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.6503,                 3.9695,                 1.5456,                0.00862,                0.50877,                0.05722,                0.03931,                 1.7185,                 4.0735,                 1.5279,             0.00011027,             0.00011027,             0.00011027
                      3,                 1.6389,                 3.8774,                  1.449,                0.00978,                0.52632,                0.10643,                0.05612,                 1.6854,                 4.0438,                 1.4923,             0.00016807,             0.00016807,             0.00016807
                      4,                 1.5116,                 3.7207,                 1.2786,                0.01048,                0.53949,                0.11863,                0.06084,                 1.7006,                 3.9778,                 1.4836,             0.00022339,             0.00022339,             0.00022339
                      5,                 1.5443,                 3.0522,                 1.3383,                0.01581,                 0.5849,                 0.2147,                0.12044,                 1.7512,                 3.8714,                 1.5158,             0.00027624,             0.00027624,             0.00027624
                      6,                 1.5732,                 2.7337,                 1.3189,                      1,                0.03422,                0.22216,                0.13654,                 1.7826,                 3.7819,                 1.5284,             0.00032661,             0.00032661,             0.00032661
                      7,                 1.5148,                 2.4987,                 1.2846,                0.93757,                0.08772,                0.24941,                0.14442,                 1.8511,                 3.4638,                 1.5352,             0.00037451,             0.00037451,             0.00037451
                      8,                 1.5189,                 2.5174,                 1.2342,                0.40179,                0.16074,                0.29744,                0.17196,                 1.8198,                 2.9752,                 1.4725,             0.00041993,             0.00041993,             0.00041993
                      9,                 1.5827,                 2.1472,                 1.2945,                 0.3353,                0.20564,                0.31263,                0.17224,                 1.7936,                  2.621,                 1.4425,             0.00046288,             0.00046288,             0.00046288
                     10,                 1.5484,                 2.1114,                 1.2805,                0.34905,                0.29347,                0.36539,                0.19957,                 1.7052,                 2.4204,                  1.387,             0.00050335,             0.00050335,             0.00050335
